HiLo floors
Double Punch;22.10.2019;09:23;29.11.2019;09:56;38;00:33;
94;1;20
2913;3;7.0;1.4
1;150.000;150.000;7716;2911;106.9;6.1;0.66
Index;Element;Markierung;Zeit;Kraft;Weg
;;;s;kN;mm
1;100;5000;0.0000;4.99;-0.001
2;100;100;1.8100;5.49;0.002
3;100;100;3.2100;5.99;0.007
4;100;100;4.7100;6.49;0.010
5;100;100;7.5100;7.50;0.017
6;100;100;9.4100;8.12;0.022
7;100;100;10.5100;8.54;0.025
8;100;100;13.4100;9.56;0.034
9;100;100;15.6100;10.35;0.037
10;100;100;16.3100;10.59;0.039
11;100;100;19.3100;11.63;0.043
12;100;100;21.8100;12.51;0.050
13;100;100;22.2100;12.65;0.051
14;100;100;25.2100;13.67;0.057
15;100;100;28.0100;14.65;0.060
16;100;100;28.1100;14.72;0.060
17;100;100;31.1100;15.75;0.064
18;100;100;31.4100;15.88;0.068
19;100;100;34.0100;16.81;0.071
20;100;100;34.4100;16.90;0.072
21;100;100;37.0100;17.81;0.075
22;100;100;39.8100;18.83;0.080
23;100;100;40.6100;19.07;0.083
24;100;100;42.7100;19.83;0.087
25;100;100;45.6100;20.86;0.094
26;100;100;46.8100;21.29;0.094
27;100;100;48.6100;21.87;0.095
28;100;100;51.4100;22.88;0.101
29;100;100;53.0100;23.41;0.102
30;100;100;54.4100;23.90;0.107
31;100;100;57.3100;24.93;0.111
32;100;100;59.2100;25.59;0.114
33;100;100;60.3100;25.99;0.118
34;100;100;63.2100;26.99;0.122
35;100;100;65.4100;27.76;0.125
36;100;100;66.1100;28.02;0.126
37;100;100;69.0100;29.04;0.136
38;100;100;71.6100;29.93;0.141
39;100;100;72.0100;30.06;0.139
40;100;100;74.9100;31.09;0.145
41;100;100;77.8100;32.15;0.150
42;100;100;77.9100;32.17;0.152
43;100;100;80.9100;33.18;0.156
44;100;100;83.8100;34.20;0.159
45;100;100;84.1100;34.31;0.160
46;100;100;86.7100;35.22;0.163
47;100;100;86.9100;35.30;0.168
48;100;100;89.5100;36.23;0.169
49;100;100;90.4100;36.51;0.170
50;100;100;92.5100;37.27;0.172
51;100;100;95.4100;38.28;0.174
52;100;100;96.6100;38.69;0.178
53;100;100;98.4100;39.32;0.178
54;100;100;101.3100;40.34;0.181
55;100;100;102.8100;40.85;0.182
56;100;100;104.2100;41.36;0.187
57;100;100;107.1100;42.38;0.194
58;100;100;109.0100;43.04;0.194
59;100;100;110.0100;43.41;0.198
60;100;100;113.0100;44.43;0.203
61;100;100;115.2100;45.20;0.205
62;100;100;115.9100;45.46;0.206
63;100;100;118.8100;46.46;0.209
64;100;100;121.4100;47.38;0.217
65;100;100;121.7100;47.49;0.214
66;100;100;124.7100;48.52;0.222
67;100;100;127.5100;49.54;0.225
68;100;100;127.7100;49.58;0.225
69;100;100;130.5100;50.55;0.231
70;100;100;133.4100;51.59;0.237
71;100;100;133.9100;51.74;0.236
72;100;100;136.3100;52.59;0.240
73;100;100;139.2100;53.61;0.245
74;100;100;140.1100;53.91;0.247
75;100;100;142.1100;54.61;0.251
76;100;100;145.0100;55.63;0.256
77;100;100;146.3100;56.10;0.256
78;100;100;147.8100;56.64;0.260
79;100;100;150.8100;57.66;0.264
80;100;100;151.3100;57.83;0.268
81;100;100;152.6100;58.31;0.270
82;100;100;153.8100;58.71;0.273
83;100;100;156.7100;59.74;0.279
84;100;100;158.8100;60.49;0.283
85;100;100;159.6100;60.77;0.285
86;100;100;162.5100;61.78;0.289
87;100;100;165.0100;62.67;0.297
88;100;100;165.4100;62.82;0.297
89;100;100;168.2100;63.82;0.302
90;100;100;171.2100;64.83;0.306
91;100;100;171.3100;64.88;0.306
92;100;100;174.1100;65.90;0.310
93;100;100;177.1100;66.91;0.318
94;100;100;177.5100;67.07;0.317
95;100;100;180.0100;67.92;0.326
96;100;100;182.9100;68.94;0.326
97;100;100;183.7100;69.19;0.330
98;100;100;185.7100;69.97;0.332
99;100;100;188.8100;71.02;0.342
100;100;100;189.9100;71.40;0.341
101;100;100;191.7100;72.02;0.347
102;100;100;194.6100;73.04;0.355
103;100;100;196.1100;73.55;0.359
104;100;100;197.4100;74.04;0.362
105;100;100;199.1100;74.61;0.368
106;100;100;200.5100;75.08;0.371
107;100;100;202.4100;75.76;0.374
108;100;100;203.4100;76.12;0.375
109;100;100;206.3100;77.12;0.382
110;100;100;208.6100;77.93;0.387
111;100;100;209.2100;78.15;0.388
112;100;100;212.0100;79.16;0.394
113;100;100;214.8100;80.11;0.400
114;100;100;214.9100;80.16;0.402
115;100;100;218.0100;81.22;0.407
116;100;100;220.9100;82.25;0.415
117;100;100;221.1100;82.30;0.417
118;100;100;223.8100;83.27;0.424
119;100;100;226.7100;84.28;0.435
120;100;100;227.3100;84.49;0.435
121;100;100;229.6100;85.33;0.443
122;100;100;232.6100;86.36;0.453
123;100;100;233.5100;86.66;0.455
124;100;100;235.6100;87.38;0.460
125;100;100;238.5100;88.40;0.467
126;100;100;238.6100;88.44;0.469
127;100;100;239.8100;88.86;0.472
128;100;100;241.4100;89.46;0.475
129;100;100;244.3100;90.46;0.486
130;100;100;246.0100;91.01;0.488
131;100;100;247.2100;91.47;0.496
132;100;100;250.2100;92.53;0.508
133;100;100;252.2100;93.19;0.514
134;100;100;253.1100;93.54;0.517
135;100;100;256.0100;94.56;0.524
136;100;100;258.4100;95.36;0.532
137;100;100;258.9100;95.57;0.535
138;100;100;261.8100;96.60;0.545
139;100;100;264.6100;97.54;0.555
140;100;100;264.8100;97.60;0.556
141;100;100;267.7100;98.63;0.562
142;100;100;269.4100;99.24;0.569
143;100;100;270.6100;99.67;0.569
144;100;100;271.0100;99.76;0.572
145;100;100;273.6100;100.69;0.580
146;100;100;276.5100;101.73;0.591
147;100;100;277.2100;101.96;0.595
148;100;100;279.4100;102.75;0.600
149;100;100;282.3100;103.79;0.613
150;100;100;283.4100;104.11;0.617
151;100;100;285.3100;104.82;0.630
152;100;100;288.3100;105.86;0.648
153;100;100;289.6100;106.28;0.655
154;100;100;291.4100;106.91;0.661
155;100;100;292.8100;104.55;0.669
156;100;100;292.9100;100.17;0.671
157;100;100;293.0100;98.33;0.675
158;100;100;293.2100;96.99;0.682
159;100;100;293.6100;95.79;0.701
160;100;100;293.9100;94.64;0.723
161;100;100;294.1100;93.05;0.741
162;100;100;294.2100;90.89;0.766
163;100;100;294.3100;60.05;0.679
164;100;100;294.4100;35.47;0.587
165;100;100;294.5100;19.96;0.518
166;100;100;294.6100;10.12;0.464
167;100;510;294.6100;10.12;0.464
168;100;100;294.7100;3.77;0.419
169;100;100;294.8100;0.00;0.384
170;100;100;294.9100;-2.22;0.345

2;150.000;150.000;7728;2915;141.7;8.0;1.31
Index;Element;Markierung;Zeit;Kraft;Weg
;;;s;kN;mm
1;100;5000;0.0000;5.00;0.000
2;100;100;1.7100;5.47;0.004
3;100;100;4.4100;6.45;0.005
4;100;100;4.6100;6.52;0.009
5;100;100;7.4100;7.53;0.015
6;100;100;10.4100;8.54;0.021
7;100;100;10.7100;8.67;0.022
8;100;100;13.2100;9.56;0.028
9;100;100;16.1100;10.56;0.037
10;100;100;16.9100;10.83;0.040
11;100;100;19.1100;11.60;0.042
12;100;100;22.1100;12.65;0.048
13;100;100;23.1100;13.00;0.049
